url,title,date,claim,rating,site
https://www.snopes.com/fact-check/trump-god-bless-usa-bible/,Trump Profited from God Bless the USA Bible Company That Sells Bibles for $59.99?,2024-03-28 12:03:49+00:00,"Months before the 2024 U.S. elections, former U.S. President Donald Trump endorsed and profited from the God Bless the USA Bible company, which sells Bibles for $59.99.",True,snopes
https://www.snopes.com/fact-check/super-pacs-donor-trump-rfk/,Super PACs for Trump and RFK Jr. Share Same Top Donor?,2024-03-28 17:03:49+00:00,The top donor to a major super PAC supporting Donald Trump for president in 2024 is also the top donor to the super PAC supporting Robert F. Kennedy Jr. for president.,True,snopes
https://www.snopes.com/fact-check/trump-worst-jobs-record/,"When Trump Was in Office, US Job Growth Was Worst Since Great Depression?",2024-03-05 16:40:41+00:00,"During former U.S. President Donald Trump's term in office, the U.S. suffered the lowest job growth and highest unemployment rate since the Great Depression.",True,snopes
https://www.snopes.com/fact-check/trump-sweat-orange-photo/,Real or Fake: Is This an Authentic Photo of Trump?,2024-01-24 12:47:25+00:00,"A close-up photo of former U.S. President Donald Trump's face covered with what appears to be sweat and heavy orange makeup, or self-tanner lotion, is authentic.",True,snopes
https://www.snopes.com/fact-check/trump-uncle-mit-professor/,Was Donald Trump's Uncle a Professor at MIT?,2024-01-29 15:58:58+00:00,Donald Trump's uncle was a professor at the Massachusetts Institute of Technology.,True,snopes
https://www.snopes.com/fact-check/ivanka-donald-trump-pic/,Donald and Ivanka Trump Were Once Photographed Like This on a Bed?,2024-02-15 06:00:05+00:00,"A photograph authentically shows Donald Trump with his daughter Ivanka as a child, posing on a bed.",True,snopes
https://www.snopes.com/fact-check/putin-prefers-biden/,Did Putin Say He Preferred Biden to Trump in the 2024 US Presidential Election?,2024-02-15 13:32:19+00:00,Russian President Vladimir Putin said he preferred Joe Biden to Donald Trump in the 2024 U.S. presidential election.,True,snopes
https://www.snopes.com/fact-check/donald-and-ivanka-photo/,Donald and Ivanka Trump Really Photographed Together on a Bed?,2024-02-20 04:00:04+00:00,"A photograph authentically shows Donald Trump with his daughter Ivanka as a child, posing on a bed.",True,snopes
https://www.snopes.com/fact-check/million-migrants-border-biden/,"7.2M Migrants Have Illegally Crossed US Border Under Biden, Exceeding the Populations of 36 States?",2024-02-22 15:47:24+00:00,"As of January 2024, more than 7.2 million migrants had illegally crossed into the U.S. over the Southwest border during U.S. President Joe Biden's administration — a number higher than the individual populations of 36 states.",True,snopes
https://www.snopes.com/fact-check/god-made-trump-video/,Trump Shared a 'God Made Trump' Video with AI-Generated Narration by Paul Harvey?,2024-01-09 06:00:01+00:00,"On Jan. 5, 2024, former U.S. President Donald Trump shared on his Truth Social account a video with the repeated words, ""So God made Trump.""",True,snopes
https://www.snopes.com/fact-check/pride-flags-banned-spending-bill/,Pride Flags Banned at US Embassies Under $1.2T Spending Bill Signed by Biden in March 2024?,2024-03-27 17:00:52+00:00,"The $1.2 trillion spending bill signed into law by Biden on March 23, 2024, included a provision that effectively banned the flying of pride flags over U.S. embassies.",True,snopes
https://www.snopes.com/fact-check/npr-undecided-voter-impressed/,NPR Watched Biden SOTU Speech with Undecided Voter Who 'Wasn't that Impressed'?,2024-03-08 13:55:22+00:00,"NPR published an article with the headline, ""We watched the State of the Union with one undecided voter. She wasn't that impressed.""",True,snopes
https://www.snopes.com/fact-check/pride-flags-banned-spending-bill/,Pride Flags Banned at US Embassies Under $1.2T Spending Bill Signed by Biden in March 2024?,2024-03-27 17:00:52+00:00,"The $1.2 trillion spending bill signed into law by Biden on March 23, 2024, included a provision that effectively banned the flying of pride flags over U.S. embassies.",True,snopes
https://www.snopes.com/fact-check/million-migrants-border-biden/,"7.2M Migrants Have Illegally Crossed US Border Under Biden, Exceeding the Populations of 36 States?",2024-02-22 15:47:24+00:00,"As of January 2024, more than 7.2 million migrants had illegally crossed into the U.S. over the Southwest border during U.S. President Joe Biden's administration — a number higher than the individual populations of 36 states.",True,snopes
https://www.snopes.com/fact-check/trump-worst-jobs-record/,"When Trump Was in Office, US Job Growth Was Worst Since Great Depression?",2024-03-05 16:40:41+00:00,"During former U.S. President Donald Trump's term in office, the U.S. suffered the lowest job growth and highest unemployment rate since the Great Depression.",True,snopes
https://www.snopes.com/fact-check/biden-border-fence-2007/,Did Biden Propose a Border Fence in 2007 and Say No Great Nation Has Uncontrolled Borders?,2024-01-10 10:22:40+00:00,"In August 2007, then-U.S. Sen. Joe Biden said ""no great nation"" can have uncontrolled borders and proposed increased security along the U.S.-Mexico border, including a partial border fence and more Border Patrol agents.",True,snopes
https://www.snopes.com/fact-check/biden-nibble-girl-finland/,Does Video Show Biden Playfully 'Nibbling' on Toddler?,2024-01-31 11:19:04+00:00,"A video shared in early 2024 showed U.S. President Joe Biden playfully ""nibbling"" on the shoulder of a child who appears to be a toddler-aged girl.",True,snopes
https://www.snopes.com/fact-check/jean-pierre-doocy-dodge/,Did Karine Jean-Pierre Dodge Fox News Reporter's Question About Biden's Mental Health?,2024-02-07 14:59:08+00:00,White House Press Secretary Karine Jean-Pierre told Fox News' Peter Doocy that she did not want to engage with him on the question of U.S. President Joe Biden's mental health in connection to Biden's gaffe about speaking to long-dead French President Francois Mitterrand in 2021.,True,snopes
https://www.snopes.com/fact-check/npr-undecided-voter-impressed/,NPR Watched Biden SOTU Speech with Undecided Voter Who 'Wasn't that Impressed'?,2024-03-08 13:55:22+00:00,"NPR published an article with the headline, ""We watched the State of the Union with one undecided voter. She wasn't that impressed.""",True,snopes
https://www.bbc.co.uk/news/world-us-canada-67898918,Biden slams Trump for Capitol riot in 2024 campaign speech,2024-01-05 23:11:58+00:00,"In his first campaign speech of 2024, President Joe Biden cast his likely election opponent, Donald Trump, as a fundamental threat to American democracy.",True,bbc
https://www.bbc.co.uk/news/world-us-canada-67899435,Supreme Court to rule if Trump can run for president,2024-01-05 22:15:21+00:00,The US Supreme Court says it will hear a historic case to determine whether Donald Trump can run for president.,True,bbc
https://www.bbc.co.uk/news/world-us-canada-68064809,Who will Donald Trump pick as his vice-president?,2024-01-24 11:18:50+00:00,The competition to become Donald Trump's vice-presidential candidate is heating up.,True,bbc
https://www.bbc.co.uk/news/world-us-canada-68309680,What to know about Trump's hush-money trial,2024-02-15 19:07:07+00:00,"The prosecution and defence have rested their cases in Donald Trump's first criminal trial, and jurors will begin deliberating soon.",True,bbc
https://www.bbc.co.uk/news/world-us-canada-68323487,Key takeaways from Donald Trump's 'overwhelming' fraud trial defeat,2024-02-17 00:38:11+00:00,"In a stunning blow to his business empire, Donald Trump has been found liable for almost $355m (£281m) in penalties by Justice Arthur Engoron, in a long-awaited conclusion to the billionaire's fraud trial.",True,bbc
https://www.bbc.co.uk/news/world-us-canada-68580015,Comstock Act: A 19th Century law firing up anti-abortion push,2024-03-26 00:15:42+00:00,"US anti-abortion activists, including allies of Donald Trump, have a strategy to ban abortion nationwide - one that bypasses Congress and the American people. It's a plan that hinges on Mr Trump's re-election in November and the use of a little-known 19th Century law.",True,bbc
https://www.bbc.co.uk/news/world-us-canada-68696324,Trump pushes legal challenges in two cases,2024-03-29 23:59:43+00:00,Donald Trump's attorneys pushed two legal challenges before Easter weekend.,True,bbc
